article,authorid,age,field,sex
1,496,7,other,1
1,496,8,other,1
1,497,2,eco,1
1,498,3,eco,1
1,500,6,eco,2
1,501,2,eco,1
4,501,3,eco,1
7,501,4,eco,1
1,502,2,eco,1
1,504,7,other,1
2,505,5,other,1
1,506,4,eco,2
1,506,4,other,2
1,507,4,eco,1
3,507,4,other,1
1,507,5,eco,1
2,507,5,other,1
1,510,6,eco,1
1,512,4,eco,1
6,512,5,eco,1
4,512,6,eco,1
6,513,3,edu,2
1,513,3,other,2
11,513,4,edu,2
1,513,4,other,2
3,513,5,edu,2
2,514,3,other,2
1,514,4,other,2
2,515,2,eco,1
1,515,2,other,1
1,517,5,eco,1
1,518,2,other,1
1,518,3,eco,1
1,518,3,med,1
2,518,3,other,1
1,519,3,med,1
3,519,4,med,1
3,522,6,other,1
2,522,7,other,1
1,529,8,edu,1
1,530,4,eco,1
1,530,4,other,1
4,530,5,eco,1
1,530,5,med,1
3,530,5,other,1
1,531,4,eco,2
1,534,3,other,1
2,1624,2,eco,2
3,1624,2,edu,2
3,1624,2,med,2
8,1624,2,other,2
1,1625,5,other,1
1,1631,4,other,2
1,1632,5,med,1
1,1632,6,med,1
1,1632,6,other,1
3,1650,3,other,1
1,1682,6,eco,1
1,1682,6,other,1
2,1682,7,eco,1
1,1682,7,other,1
2,1682,8,eco,1
1,1682,8,edu,1
1,1682,8,other,1
1,1813,3,other,1
1,1850,4,eco,1
1,1867,5,other,1
1,1868,1,eco,1
2,1868,1,edu,1
5,1868,1,other,1
1,1869,2,other,1
1,1871,7,other,1
1,1877,8,eco,1
1,1878,3,other,2
3,1879,4,med,1
2,1881,3,eco,1
1,1881,4,eco,1
1,1881,4,other,1
1,1883,4,other,1
1,1884,4,other,1
1,1885,4,other,1
2,1886,3,eco,1
1,1886,3,other,1
1,1891,1,other,2
4,1899,6,med,1
1,1899,7,med,1
1,1904,2,eco,1
1,1904,3,eco,1
1,1909,1,med,2
2,1909,2,med,2
2,1909,2,other,2
2,1925,2,med,1
1,1926,3,other,1
1,1926,5,other,1
1,1928,4,other,2
1,1932,3,other,1
1,1936,6,edu,2
4,1945,9,med,1
8,1945,9,other,1
1,1947,7,med,1
1,1947,7,other,1
4,1947,8,med,1
8,1947,8,other,1
2,1953,4,med,2
2,1953,4,other,2
2,1953,5,med,2
6,1953,5,other,2
1,1963,7,med,2
1,1963,7,other,2
4,1963,8,med,2
9,1963,8,other,2
1,1963,9,med,2
1,1963,9,other,2
1,1969,5,eco,1
1,1969,5,other,1
1,1972,3,other,1
1,1973,2,other,2
3,1978,2,med,2
1,1984,6,other,1
1,1985,4,other,1
1,1986,3,other,1
1,2015,5,eco,1
1,2015,5,other,1
1,2018,3,edu,2
1,2019,4,edu,1
1,2020,7,edu,2
1,2021,5,edu,1
1,2022,3,edu,2
4,2024,6,other,2
5,2026,3,other,1
1,2042,3,other,2
1,2044,4,other,2
1,2046,5,eco,1
1,2047,3,eco,2
2,2058,3,other,2
1,2059,4,other,1
1,2078,2,eco,1
1,2078,2,other,1
1,2078,3,other,1
1,2083,6,eco,1
1,2083,6,other,1
2,2086,2,other,1
1,2086,3,other,1
1,2086,4,other,1
1,2092,2,other,1
1,2095,7,med,1
1,2098,6,med,2
1,2107,6,eco,1
1,2107,6,other,1
1,2119,6,eco,1
1,2120,5,med,2
1,2120,5,other,2
1,2122,2,other,2
1,2129,8,other,1
1,2130,2,eco,2
1,2132,2,eco,1
1,2133,2,eco,1
1,2134,3,eco,1
1,2138,7,other,1
1,2140,5,eco,1
1,2140,5,other,1
1,2142,3,eco,1
1,2161,2,other,2
1,2161,3,other,2
3,2184,4,eco,1
20,2184,4,med,1
8,2184,5,eco,1
14,2184,5,med,1
8,2184,6,eco,1
25,2184,6,med,1
4,2184,6,other,1
2,2186,4,eco,2
7,2186,4,med,2
2,2186,5,eco,2
3,2186,5,med,2
2,2186,6,eco,2
11,2186,6,med,2
3,2186,6,other,2
1,2190,2,other,2
2,2215,6,med,2
2,2216,4,med,1
