article,authorid,field,sex
1,2716,edu,1
1,2716,other,1
13,2717,eco,1
5,2717,edu,1
5,2717,other,1
1,2718,eco,2
1,2718,edu,2
1,2719,eco,2
2,2719,edu,2
1,3710,edu,1
1,3713,eco,1
2,3714,eco,1
1,3714,edu,1
1,3714,other,1
1,3716,other,1
1,3717,other,1
1,3718,other,2
1,4714,other,2
2,4719,edu,2
1,4721,eco,2
3,4723,eco,2
5,4723,other,2
2,4724,other,1
1,4727,eco,1
1,5715,other,2
1,5716,edu,2
2,5716,other,2
4,5718,other,2
1,5719,eco,1
1,5723,eco,2
2,5725,other,2
2,5729,eco,2
3,5730,eco,1
1,5731,eco,2
1,5732,eco,2
1,5738,eco,1
2,5738,other,1
1,5746,other,2
1,5762,other,1
1,5763,med,2
1,5764,eco,1
1,5764,other,1
4,5765,other,1
1,5766,other,2
4,5767,other,1
2,5781,other,1
2,5782,eco,1
1,5782,other,1
1,5784,other,1
2,5790,eco,1
1,5790,other,1
1,5793,eco,1
1,5793,other,1
1,5795,eco,2
1,5797,eco,2
1,5797,edu,2
1,5798,eco,1
1,5798,edu,1
1,5799,eco,1
1,5799,edu,1
1,5800,eco,1
1,5800,med,1
1,5800,other,1
1,5801,eco,1
1,5801,edu,1
1,5803,eco,1
1,5803,other,1
2,5804,edu,2
3,5807,eco,2
7,5807,other,2
3,5809,eco,1
4,5809,other,1
2,5812,eco,1
1,5812,other,1
1,5818,eco,2
2,5819,eco,1
5,5821,other,1
1,5822,other,1
2,5828,eco,1
1,5829,eco,2
1,5831,other,2
1,5833,other,2
1,5834,other,1
1,5841,other,1
1,5844,eco,1
1,5852,eco,1
1,5852,other,1
1,5853,eco,1
1,5853,other,1
1,5854,eco,2
1,5855,med,2
1,5856,med,1
2,5859,eco,1
4,5859,other,1
9,5860,eco,1
2,5860,med,1
3,5860,other,1
1,5863,other,1
1,5864,eco,2
1,5864,other,2
1,5866,eco,1
1,5867,eco,2
1,5869,eco,2
1,5870,eco,2
1,5873,other,1
2,5876,edu,2
1,5877,edu,2
2,5878,edu,1
6,5879,edu,2
2,5882,eco,2
3,5882,edu,2
2,5885,edu,2
1,5890,eco,1
1,5892,other,2
1,5893,other,2
1,5894,other,1
1,5896,other,1
1,5900,edu,2
1,5901,edu,2
1,5902,edu,2
1,5914,edu,2
1,5914,other,2
1,5917,edu,2
1,5919,other,2
1,5921,eco,1
4,5921,other,1
1,5938,other,2
3,5939,other,2
2,5943,other,1
2,5951,eco,1
1,5951,other,1
3,5952,med,2
1,5953,med,1
13,5961,eco,1
98,5961,med,1
8,5961,other,1
4,5962,med,1
1,5963,med,1
4,5964,med,2
1,5965,med,1
4,5966,eco,1
51,5966,med,1
3,5966,other,1
2,5967,eco,2
17,5967,med,2
1,5967,other,2
5,5968,med,1
1,5968,other,1
2,5969,med,1
